source,relation,target
quadriplegic,MENTIONED_IN,chunk_73
magnesium,CO_OCCURS_WITH,neuromuscular disease
magnesium,CO_OCCURS_WITH,preeclampsia
magnesium,CO_OCCURS_WITH,quadriplegic
magnesium,MENTIONED_IN,chunk_74
magnesium,MENTIONED_IN,chunk_76
postsynaptic neuromuscular blockade,MENTIONED_IN,chunk_77
acetylcholine,MENTIONED_IN,chunk_79
paralysis,MENTIONED_IN,chunk_80
myasthenia gravis,MENTIONED_IN,chunk_80
magnesium,MENTIONED_IN,chunk_80
magnesium,CO_OCCURS_WITH,paralysis
magnesium,CO_OCCURS_WITH,myasthenia gravis
disorder of neuromuscular transmission,MENTIONED_IN,chunk_81
magnesium,MENTIONED_IN,chunk_81
magnesium,CO_OCCURS_WITH,disorder of neuromuscular transmission
ifosfamide,MENTIONED_IN,chunk_82
cyclophosphamide,MENTIONED_IN,chunk_82
Chloroacetaldehyde,MENTIONED_IN,chunk_82
CAA,MENTIONED_IN,chunk_84
chloroacetaldehyde,MENTIONED_IN,chunk_84
hemorrhagic cystitis,MENTIONED_IN,chunk_84
CAA,CO_OCCURS_WITH,hemorrhagic cystitis
chloroacetaldehyde,CO_OCCURS_WITH,hemorrhagic cystitis
CAA,MENTIONED_IN,chunk_85
bladder damage,MENTIONED_IN,chunk_87
mesna,MENTIONED_IN,chunk_88
CAA,MENTIONED_IN,chunk_88
pain,MENTIONED_IN,chunk_89
migraine,MENTIONED_IN,chunk_89
nitroglycerin,MENTIONED_IN,chunk_89
nitroglycerin,CO_OCCURS_WITH,pain
nitroglycerin,CO_OCCURS_WITH,migraine
migraine,MENTIONED_IN,chunk_90
nitroglycerin,MENTIONED_IN,chunk_90
migraine,MENTIONED_IN,chunk_91
nitroglycerin,MENTIONED_IN,chunk_91
migraine,MENTIONED_IN,chunk_92
pain,MENTIONED_IN,chunk_93
migraine,MENTIONED_IN,chunk_93
nitroglycerin,MENTIONED_IN,chunk_93
migraine,MENTIONED_IN,chunk_94
hepatitis,MENTIONED_IN,chunk_95
Clotiazepam,MENTIONED_IN,chunk_95
Clotiazepam,CO_OCCURS_WITH,hepatitis
clotiazepam,MENTIONED_IN,chunk_96
hepatitis,MENTIONED_IN,chunk_96
extensive hepatocellular necrosis,MENTIONED_IN,chunk_96
thienodiazepine,MENTIONED_IN,chunk_96
clotiazepam,CO_OCCURS_WITH,hepatitis
clotiazepam,CO_OCCURS_WITH,extensive hepatocellular necrosis
thienodiazepine,CO_OCCURS_WITH,hepatitis
thienodiazepine,CO_OCCURS_WITH,extensive hepatocellular necrosis
Clotiazepam,MENTIONED_IN,chunk_97
clotiazepam,MENTIONED_IN,chunk_98
hepatitis,MENTIONED_IN,chunk_98
benzodiazepines,MENTIONED_IN,chunk_98
benzodiazepines,CO_OCCURS_WITH,hepatitis
clotiazepam,MENTIONED_IN,chunk_99
hepatitis,MENTIONED_IN,chunk_99
benzodiazepines,MENTIONED_IN,chunk_99
hepatotoxicity,MENTIONED_IN,chunk_99
clotiazepam,CO_OCCURS_WITH,hepatotoxicity
benzodiazepines,CO_OCCURS_WITH,hepatotoxicity
ketoconazole,MENTIONED_IN,chunk_100
hypertension,MENTIONED_IN,chunk_100
ketoconazole,CO_OCCURS_WITH,hypertension
Cushing's syndrome,MENTIONED_IN,chunk_101
ketoconazole,MENTIONED_IN,chunk_101
hypertension,MENTIONED_IN,chunk_101
ketoconazole,CO_OCCURS_WITH,Cushing's syndrome
cortisol,MENTIONED_IN,chunk_102
ketoconazole,MENTIONED_IN,chunk_102
hypertension,MENTIONED_IN,chunk_102
cortisol,CO_OCCURS_WITH,hypertension
deoxycorticosterone,MENTIONED_IN,chunk_103
11-deoxycortisol,MENTIONED_IN,chunk_103
deoxycorticosterone,MENTIONED_IN,chunk_104
aldosterone,MENTIONED_IN,chunk_104
11-deoxycortisol,MENTIONED_IN,chunk_104
ketoconazole,MENTIONED_IN,chunk_105
hypertension,MENTIONED_IN,chunk_105
angiotensin,MENTIONED_IN,chunk_106
intravascular coagulation,MENTIONED_IN,chunk_106
Captopril,MENTIONED_IN,chunk_106
pulmonary and renal insufficiency,MENTIONED_IN,chunk_106
angiotensin,CO_OCCURS_WITH,intravascular coagulation
angiotensin,CO_OCCURS_WITH,pulmonary and renal insufficiency
Captopril,CO_OCCURS_WITH,intravascular coagulation
Captopril,CO_OCCURS_WITH,pulmonary and renal insufficiency
AMCA,MENTIONED_IN,chunk_107
intravascular coagulation,MENTIONED_IN,chunk_107
sepsis,MENTIONED_IN,chunk_107
pulmonary and renal insufficiency,MENTIONED_IN,chunk_107
trauma,MENTIONED_IN,chunk_107
tranexamic acid,MENTIONED_IN,chunk_107
tranexamic acid,CO_OCCURS_WITH,sepsis
tranexamic acid,CO_OCCURS_WITH,intravascular coagulation
tranexamic acid,CO_OCCURS_WITH,trauma
tranexamic acid,CO_OCCURS_WITH,pulmonary and renal insufficiency
AMCA,CO_OCCURS_WITH,sepsis
AMCA,CO_OCCURS_WITH,intravascular coagulation
AMCA,CO_OCCURS_WITH,trauma
AMCA,CO_OCCURS_WITH,pulmonary and renal insufficiency
angiotensin,MENTIONED_IN,chunk_108
Captopril,MENTIONED_IN,chunk_108
pulmonary and renal insufficiency,MENTIONED_IN,chunk_108
Captopril,MENTIONED_IN,chunk_110
Captopril,MENTIONED_IN,chunk_111
Renal damage,MENTIONED_IN,chunk_111
urea,MENTIONED_IN,chunk_111
Captopril,CO_OCCURS_WITH,Renal damage
urea,CO_OCCURS_WITH,Renal damage
AMCA,MENTIONED_IN,chunk_112
kidney damage,MENTIONED_IN,chunk_113
bradykinin,MENTIONED_IN,chunk_113
Captopril,MENTIONED_IN,chunk_113
Angiotension II,MENTIONED_IN,chunk_113
prostacyclin,MENTIONED_IN,chunk_113
Captopril,CO_OCCURS_WITH,kidney damage
bradykinin,CO_OCCURS_WITH,kidney damage
Angiotension II,CO_OCCURS_WITH,kidney damage
prostacyclin,CO_OCCURS_WITH,kidney damage
hypotension,MENTIONED_IN,chunk_114
labetalol,MENTIONED_IN,chunk_114
nitroprusside,MENTIONED_IN,chunk_114
labetalol,CO_OCCURS_WITH,hypotension
nitroprusside,CO_OCCURS_WITH,hypotension
hypotension,MENTIONED_IN,chunk_115
labetalol,MENTIONED_IN,chunk_115
nitroprusside,MENTIONED_IN,chunk_115
reductions in mean arterial blood pressure,MENTIONED_IN,chunk_116
increase in heart rate and cardiac output,MENTIONED_IN,chunk_117
hypertension,MENTIONED_IN,chunk_117
nitroprusside,MENTIONED_IN,chunk_117
nitroprusside,CO_OCCURS_WITH,increase in heart rate and cardiac output
nitroprusside,CO_OCCURS_WITH,hypertension
Labetalol,MENTIONED_IN,chunk_118
PO2,MENTIONED_IN,chunk_119
labetalol,MENTIONED_IN,chunk_120
nitroprusside,MENTIONED_IN,chunk_120
toxicity,MENTIONED_IN,chunk_121
carbamazepine,MENTIONED_IN,chunk_121
folate,MENTIONED_IN,chunk_121
carbamazepine,CO_OCCURS_WITH,toxicity
folate,CO_OCCURS_WITH,toxicity
Folate,MENTIONED_IN,chunk_122
CBZ,MENTIONED_IN,chunk_123
Carbamazepine,MENTIONED_IN,chunk_123
CBZ,MENTIONED_IN,chunk_124
folate,MENTIONED_IN,chunk_124
propylene glycol,MENTIONED_IN,chunk_125
weight gain,MENTIONED_IN,chunk_125
seizures,MENTIONED_IN,chunk_125
propylene glycol,CO_OCCURS_WITH,weight gain
propylene glycol,CO_OCCURS_WITH,seizures
CBZ,MENTIONED_IN,chunk_126
HFDE,MENTIONED_IN,chunk_126
weight gain,MENTIONED_IN,chunk_126
Seizures,MENTIONED_IN,chunk_126
seizures,MENTIONED_IN,chunk_126
hexafluorodiethyl ether,MENTIONED_IN,chunk_126
HFDE,CO_OCCURS_WITH,weight gain
HFDE,CO_OCCURS_WITH,Seizures
HFDE,CO_OCCURS_WITH,seizures
CBZ,CO_OCCURS_WITH,weight gain
CBZ,CO_OCCURS_WITH,Seizures
CBZ,CO_OCCURS_WITH,seizures
hexafluorodiethyl ether,CO_OCCURS_WITH,weight gain
hexafluorodiethyl ether,CO_OCCURS_WITH,Seizures
hexafluorodiethyl ether,CO_OCCURS_WITH,seizures
CBZ,MENTIONED_IN,chunk_127
CBZ,MENTIONED_IN,chunk_128
folate,MENTIONED_IN,chunk_128
norepinephrine,MENTIONED_IN,chunk_130
sodium,MENTIONED_IN,chunk_130
epinephrine,MENTIONED_IN,chunk_130
tachycardia,MENTIONED_IN,chunk_140
norepinephrine,MENTIONED_IN,chunk_140
norepinephrine,CO_OCCURS_WITH,tachycardia
hypotension,MENTIONED_IN,chunk_141
hydralazine,MENTIONED_IN,chunk_141
nitroglycerin,MENTIONED_IN,chunk_141
hydralazine,CO_OCCURS_WITH,hypotension
nitroglycerin,CO_OCCURS_WITH,hypotension
epinephrine,MENTIONED_IN,chunk_142
Death,MENTIONED_IN,chunk_143
gestational trophoblastic disease,MENTIONED_IN,chunk_143
choriocarcinoma,MENTIONED_IN,chunk_144
Etoposide,MENTIONED_IN,chunk_146
Actomycin-D,MENTIONED_IN,chunk_147
Methotrexate,MENTIONED_IN,chunk_147
Cyclophosphamide,MENTIONED_IN,chunk_147
Cisplatin,MENTIONED_IN,chunk_147
Methotrexate,MENTIONED_IN,chunk_148
Cyclophosphamide,MENTIONED_IN,chunk_148
Etoposide,MENTIONED_IN,chunk_148
pulmonary obstruction,MENTIONED_IN,chunk_149
tumor,MENTIONED_IN,chunk_150
tumor necrosis,MENTIONED_IN,chunk_150
necrosis,MENTIONED_IN,chunk_151
embolism,MENTIONED_IN,chunk_151
pelvic tumor,MENTIONED_IN,chunk_152
arthritis,MENTIONED_IN,chunk_153
Sexual dysfunction,MENTIONED_IN,chunk_153
osteoarthritis,MENTIONED_IN,chunk_154
rheumatoid arthritis,MENTIONED_IN,chunk_154
sexual dysfunction,MENTIONED_IN,chunk_154
spondyloarthropathy,MENTIONED_IN,chunk_154
arthritis,MENTIONED_IN,chunk_154
depressed mood,MENTIONED_IN,chunk_155
Sexual dysfunctions,MENTIONED_IN,chunk_155
methotrexate,MENTIONED_IN,chunk_156
Impotence,MENTIONED_IN,chunk_156
methotrexate,CO_OCCURS_WITH,Impotence
Depressed mood,MENTIONED_IN,chunk_157
impotence,MENTIONED_IN,chunk_157
sexual dysfunction,MENTIONED_IN,chunk_158
arthritis,MENTIONED_IN,chunk_158
phenacetin,MENTIONED_IN,chunk_159
urothelial cancer,MENTIONED_IN,chunk_159
"cancer of the renal pelvis, ureter or bladder",MENTIONED_IN,chunk_159
paracetamol,MENTIONED_IN,chunk_159
renal papillary necrosis,MENTIONED_IN,chunk_159
paracetamol,CO_OCCURS_WITH,renal papillary necrosis
paracetamol,CO_OCCURS_WITH,"cancer of the renal pelvis, ureter or bladder"
paracetamol,CO_OCCURS_WITH,urothelial cancer
phenacetin,CO_OCCURS_WITH,renal papillary necrosis
phenacetin,CO_OCCURS_WITH,"cancer of the renal pelvis, ureter or bladder"
phenacetin,CO_OCCURS_WITH,urothelial cancer
phenacetin,MENTIONED_IN,chunk_160
renal papillary necrosis,MENTIONED_IN,chunk_160
cancer of the renal pelvis and bladder,MENTIONED_IN,chunk_160
ureteric cancer,MENTIONED_IN,chunk_160
phenacetin,CO_OCCURS_WITH,cancer of the renal pelvis and bladder
phenacetin,CO_OCCURS_WITH,ureteric cancer
paracetamol,MENTIONED_IN,chunk_161
cancers,MENTIONED_IN,chunk_161
renal papillary necrosis,MENTIONED_IN,chunk_161
cancer of the ureter,MENTIONED_IN,chunk_161
paracetamol,CO_OCCURS_WITH,cancers
paracetamol,CO_OCCURS_WITH,cancer of the ureter
Dapsone,MENTIONED_IN,chunk_162
hemolytic anemia,MENTIONED_IN,chunk_162
Dapsone,CO_OCCURS_WITH,hemolytic anemia
hemolysis,MENTIONED_IN,chunk_163
dapsone,MENTIONED_IN,chunk_163
hemolytic anemia,MENTIONED_IN,chunk_163
leprosy,MENTIONED_IN,chunk_163
dapsone,CO_OCCURS_WITH,hemolysis
dapsone,CO_OCCURS_WITH,hemolytic anemia
dapsone,CO_OCCURS_WITH,leprosy
GSH,MENTIONED_IN,chunk_164
glutathione,MENTIONED_IN,chunk_164
pentose phosphate,MENTIONED_IN,chunk_165
dapsone,MENTIONED_IN,chunk_165
dapsone,MENTIONED_IN,chunk_166
GSH,MENTIONED_IN,chunk_166
pentose phosphate,MENTIONED_IN,chunk_167
dapsone,MENTIONED_IN,chunk_167
dapsone,MENTIONED_IN,chunk_168
hemolytic anemia,MENTIONED_IN,chunk_168
infection,MENTIONED_IN,chunk_169
sparteine,MENTIONED_IN,chunk_170
propafenone,MENTIONED_IN,chunk_170
diltiazem,MENTIONED_IN,chunk_170
metoprolol,MENTIONED_IN,chunk_170
coronary artery disease,MENTIONED_IN,chunk_171
shock,MENTIONED_IN,chunk_171
impairment of ventricular function,MENTIONED_IN,chunk_172
hypotension,MENTIONED_IN,chunk_172
AV block,MENTIONED_IN,chunk_172
metoprolol,MENTIONED_IN,chunk_173
diltiazem,MENTIONED_IN,chunk_179
diltiazem,MENTIONED_IN,chunk_182
metoprolol,MENTIONED_IN,chunk_182
metoprolol,MENTIONED_IN,chunk_183
propafenone,MENTIONED_IN,chunk_183
debrisoquine,MENTIONED_IN,chunk_183
diltiazem,MENTIONED_IN,chunk_183
sparteine,MENTIONED_IN,chunk_183
sparteine,MENTIONED_IN,chunk_184
debrisoquine,MENTIONED_IN,chunk_184
adverse drug reactions,MENTIONED_IN,chunk_185
mania,MENTIONED_IN,chunk_186
depressed,MENTIONED_IN,chunk_186
Triazolam,MENTIONED_IN,chunk_186
Triazolam,CO_OCCURS_WITH,mania
Triazolam,CO_OCCURS_WITH,depressed
mania,MENTIONED_IN,chunk_187
triazolam,MENTIONED_IN,chunk_187
depressed,MENTIONED_IN,chunk_187
triazolam,CO_OCCURS_WITH,mania
triazolam,CO_OCCURS_WITH,depressed
delirium,MENTIONED_IN,chunk_188
organic mental disorder,MENTIONED_IN,chunk_188
Manic,MENTIONED_IN,chunk_189
triazolam,MENTIONED_IN,chunk_189
triazolam,CO_OCCURS_WITH,Manic
triazolo,MENTIONED_IN,chunk_190
muscular rigidity,MENTIONED_IN,chunk_191
morphine,MENTIONED_IN,chunk_191
morphine,CO_OCCURS_WITH,muscular rigidity
muscular rigidity,MENTIONED_IN,chunk_192
morphine,MENTIONED_IN,chunk_192
morphine,MENTIONED_IN,chunk_193
rigidity,MENTIONED_IN,chunk_194
rigidity,MENTIONED_IN,chunk_195
morphine,MENTIONED_IN,chunk_195
hyperkinetic,MENTIONED_IN,chunk_195
akinetic,MENTIONED_IN,chunk_195
morphine,CO_OCCURS_WITH,rigidity
morphine,CO_OCCURS_WITH,hyperkinetic
morphine,CO_OCCURS_WITH,akinetic
rigidity,MENTIONED_IN,chunk_196
haloperidol,MENTIONED_IN,chunk_197
rigidity,MENTIONED_IN,chunk_199
rigidity,MENTIONED_IN,chunk_200
Haloperidol,MENTIONED_IN,chunk_200
Haloperidol,CO_OCCURS_WITH,rigidity
rigidity,MENTIONED_IN,chunk_202
morphine,MENTIONED_IN,chunk_202
rigidity,MENTIONED_IN,chunk_204
pentazocine,MENTIONED_IN,chunk_205
Compression neuropathy of the radial nerve,MENTIONED_IN,chunk_205
fibrous myopathy,MENTIONED_IN,chunk_205
pentazocine,CO_OCCURS_WITH,Compression neuropathy of the radial nerve
pentazocine,CO_OCCURS_WITH,fibrous myopathy
pentazocine,MENTIONED_IN,chunk_206
Fibrous myopathy,MENTIONED_IN,chunk_206
pentazocine,CO_OCCURS_WITH,Fibrous myopathy
compression neuropathy,MENTIONED_IN,chunk_207
myopathy,MENTIONED_IN,chunk_207
pentazocine,MENTIONED_IN,chunk_207
pentazocine,CO_OCCURS_WITH,compression neuropathy
pentazocine,CO_OCCURS_WITH,myopathy
pentazocine,MENTIONED_IN,chunk_208
fibrous myopathy,MENTIONED_IN,chunk_208
amphotericin,MENTIONED_IN,chunk_209
acute renal failure,MENTIONED_IN,chunk_209
amphotericin,CO_OCCURS_WITH,acute renal failure
cirrhosis,MENTIONED_IN,chunk_210
amphotericin B,MENTIONED_IN,chunk_210
sporotrichosis,MENTIONED_IN,chunk_210
acute renal failure,MENTIONED_IN,chunk_210
amphotericin B,CO_OCCURS_WITH,cirrhosis
amphotericin B,CO_OCCURS_WITH,sporotrichosis
amphotericin B,CO_OCCURS_WITH,acute renal failure
renal failure,MENTIONED_IN,chunk_211
renal dysfunction,MENTIONED_IN,chunk_211
amphotericin,MENTIONED_IN,chunk_212
acute renal failure,MENTIONED_IN,chunk_212
neuropathy,MENTIONED_IN,chunk_213
pleural and pericardial effusion,MENTIONED_IN,chunk_213
amiodarone,MENTIONED_IN,chunk_213
amiodarone,CO_OCCURS_WITH,neuropathy
amiodarone,CO_OCCURS_WITH,pleural and pericardial effusion
supraventricular tachyarrhythmias,MENTIONED_IN,chunk_214
amiodarone,MENTIONED_IN,chunk_214
sinuatrial disease,MENTIONED_IN,chunk_214
amiodarone,CO_OCCURS_WITH,supraventricular tachyarrhythmias
amiodarone,CO_OCCURS_WITH,sinuatrial disease
pleural and pericardial effusions,MENTIONED_IN,chunk_215
pneumonitis,MENTIONED_IN,chunk_215
proximal motor neuropathy,MENTIONED_IN,chunk_215
prednisolone,MENTIONED_IN,chunk_216
amiodarone,MENTIONED_IN,chunk_216
steroid,MENTIONED_IN,chunk_217
amiodarone,MENTIONED_IN,chunk_217
amiodarone pneumonitis,MENTIONED_IN,chunk_217
amiodarone,CO_OCCURS_WITH,amiodarone pneumonitis
steroid,CO_OCCURS_WITH,amiodarone pneumonitis
renal insufficiency,MENTIONED_IN,chunk_218
Indomethacin,MENTIONED_IN,chunk_218
Indomethacin,CO_OCCURS_WITH,renal insufficiency
cor pulmonale,MENTIONED_IN,chunk_219
hyperkalemia,MENTIONED_IN,chunk_219
cirrhosis,MENTIONED_IN,chunk_219
renal failure,MENTIONED_IN,chunk_219
indomethacin,MENTIONED_IN,chunk_219
ascites,MENTIONED_IN,chunk_219
indomethacin,CO_OCCURS_WITH,cor pulmonale
indomethacin,CO_OCCURS_WITH,hyperkalemia
indomethacin,CO_OCCURS_WITH,cirrhosis
indomethacin,CO_OCCURS_WITH,renal failure
indomethacin,CO_OCCURS_WITH,ascites
oliguria,MENTIONED_IN,chunk_220
indomethacin,MENTIONED_IN,chunk_220
indomethacin,CO_OCCURS_WITH,oliguria
prostaglandins,MENTIONED_IN,chunk_221
acute renal failure,MENTIONED_IN,chunk_222
flunitrazepam,MENTIONED_IN,chunk_225
Flunitrazepam,MENTIONED_IN,chunk_226
Dizziness,MENTIONED_IN,chunk_237
pain,MENTIONED_IN,chunk_238
flunitrazepam,MENTIONED_IN,chunk_240
timolol,MENTIONED_IN,chunk_241
myocardial infarction,MENTIONED_IN,chunk_241
timolol,CO_OCCURS_WITH,myocardial infarction
timolol,MENTIONED_IN,chunk_242
myocardial infarction,MENTIONED_IN,chunk_242
timolol,MENTIONED_IN,chunk_243
timolol,MENTIONED_IN,chunk_244
bradycardia,MENTIONED_IN,chunk_244
timolol,CO_OCCURS_WITH,bradycardia
timolol,MENTIONED_IN,chunk_245
cardiomegaly,MENTIONED_IN,chunk_246
timolol,MENTIONED_IN,chunk_247
infarction,MENTIONED_IN,chunk_247
timolol,CO_OCCURS_WITH,infarction
Vitamin D3 toxicity,MENTIONED_IN,chunk_248
vitamin D3,MENTIONED_IN,chunk_249
hypercalcemia,MENTIONED_IN,chunk_250
vitamin D3,MENTIONED_IN,chunk_250
hyperphosphatemia,MENTIONED_IN,chunk_250
vitamin D3,CO_OCCURS_WITH,hypercalcemia
vitamin D3,CO_OCCURS_WITH,hyperphosphatemia
Calcium,MENTIONED_IN,chunk_251
vitamin D3,MENTIONED_IN,chunk_251
