id,label,name
chunk_32,TextChunk,"When comparing all lithium treated versus non - lithium - treated groups , lithium caused a reduction in glomerular filtration rate ( GFR ) without significant changes in effective renal plasma flow ( as determined by a marker secreted into the proximal tubules ) or lithium clearance ."
chunk_33,TextChunk,"Consequently , lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion ."
Li,Chemical,Li
chunk_34,TextChunk,Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis .
Lithium,Chemical,Lithium
proteinuria,Disease,proteinuria
hypertension,Disease,hypertension
glomerulosclerosis,Disease,glomerulosclerosis
chunk_35,TextChunk,HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats .
creatinine,Chemical,creatinine
chunk_36,TextChunk,"NX caused an additive deterioration in GFR which , however , was ameliorated by HP ."
chunk_37,TextChunk,NX + HP caused a further rise in blood pressure in Li - pretreated rats .
chunk_38,TextChunk,"The results indicate that Li - induced nephropathy , even when the GFR is only modestly reduced , is associated with proteinuria and arterial systolic hypertension ."
chunk_39,TextChunk,In this model of chronic renal failure
chunk_40,TextChunk,Treatment of Crohn's disease with fusidic acid : an antibiotic with immunosuppressive properties similar to cyclosporin .
Crohn's disease,Disease,Crohn's disease
fusidic acid,Chemical,fusidic acid
cyclosporin,Chemical,cyclosporin
chunk_41,TextChunk,Fusidic acid is an antibiotic with T - cell specific immunosuppressive effects similar to those of cyclosporin .
chunk_42,TextChunk,"Because of the need for the development of new treatments for Crohn's disease , a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active , therapy - resistant patients ."
chunk_43,TextChunk,Eight Crohn's disease patients were included .
chunk_44,TextChunk,Fusidic acid was administered orally in a dose of 500 mg t .
Fusidic acid,Chemical,Fusidic acid
chunk_45,TextChunk,d .
chunk_46,TextChunk,s .
chunk_47,TextChunk,and the treatment was planned to last 8 weeks .
chunk_48,TextChunk,The disease activity was primarily measured by a modified individual grading score .
chunk_49,TextChunk,Five of 8 patients ( 63 %) improved during fusidic acid treatment : 3 at two weeks and 2 after four weeks .
chunk_50,TextChunk,"There were no serious clinical side effects , but dose reduction was required in two patients because of nausea ."
nausea,Disease,nausea
chunk_51,TextChunk,"Biochemically , an increase in alkaline phosphatases was noted in 5 of 8 cases ( 63 %), and the greatest increases were seen in those who had elevated levels prior to treatment ."
chunk_52,TextChunk,All reversed to pre - treatment levels after cessation of treatment .
chunk_53,TextChunk,The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn's disease patients in whom conventional treatment is ineffective .
chunk_54,TextChunk,Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease
inflammatory bowel disease,Disease,inflammatory bowel disease
chunk_55,TextChunk,Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers .
myocardial injury,Disease,myocardial injury
cocaine,Chemical,cocaine
chunk_56,TextChunk,The electrocardiograms ( ECG ) of 99 cocaine - abusing patients were compared with the ECGs of 50 schizophrenic controls .
schizophrenic,Disease,schizophrenic
chunk_57,TextChunk,"Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction , ischemia , and bundle branch block"
myocardial infarction,Disease,myocardial infarction
ischemia,Disease,ischemia
bundle branch block,Disease,bundle branch block
chunk_58,TextChunk,Sulpiride - induced tardive dystonia .
Sulpiride,Chemical,Sulpiride
tardive dystonia,Disease,tardive dystonia
chunk_59,TextChunk,Sulpiride is a selective D2 - receptor antagonist with antipsychotic and antidepressant properties .
antidepressant,Chemical,antidepressant
chunk_60,TextChunk,"Although initially thought to be free of extrapyramidal side effects , sulpiride - induced tardive dyskinesia and parkinsonism have been reported occasionally ."
sulpiride,Chemical,sulpiride
tardive dyskinesia,Disease,tardive dyskinesia
parkinsonism,Disease,parkinsonism
chunk_61,TextChunk,We studied a 37 - year - old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy .
dystonia,Disease,dystonia
chunk_62,TextChunk,We could not find any previous reports of sulpiride - induced tardive dystonia
chunk_63,TextChunk,Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine .
Ocular and auditory toxicity,Disease,Ocular and auditory toxicity
desferrioxamine,Chemical,desferrioxamine
chunk_64,TextChunk,During an 18 - month period of study 41 hemodialyzed patients receiving desferrioxamine ( 10 - 40 mg / kg BW / 3 times weekly ) for the first time were monitored for detection of audiovisual toxicity .
audiovisual toxicity,Disease,audiovisual toxicity
chunk_65,TextChunk,6 patients presented clinical symptoms of visual or auditory toxicity .
visual or auditory toxicity,Disease,visual or auditory toxicity
chunk_66,TextChunk,"Moreover , detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients ."
chunk_67,TextChunk,"Visual toxicity was of retinal origin and was characterized by a tritan - type dyschromatopsy , sometimes associated with a loss of visual acuity and pigmentary retinal deposits ."
Visual toxicity,Disease,Visual toxicity
dyschromatopsy,Disease,dyschromatopsy
a loss of visual acuity,Disease,a loss of visual acuity
pigmentary retinal deposits,Disease,pigmentary retinal deposits
chunk_68,TextChunk,Auditory toxicity was characterized by a mid - to high - frequency neurosensorial hearing loss and the lesion was of the cochlear type .
Auditory toxicity,Disease,Auditory toxicity
neurosensorial hearing loss,Disease,neurosensorial hearing loss
chunk_69,TextChunk,"Desferrioxamine withdrawal resulted in a complete recovery of visual function in 1 patient and partial recovery in 3 , and a complete reversal of hearing loss in 3 patients and partial recovery in 3 ."
Desferrioxamine,Chemical,Desferrioxamine
hearing loss,Disease,hearing loss
chunk_70,TextChunk,This toxicity appeared in patients receiving the higher doses of desferrioxamine or coincided with the normalization of ferritin or aluminium serum levels .
toxicity,Disease,toxicity
aluminium,Chemical,aluminium
chunk_71,TextChunk,The data indicate that audiovisual toxicity is not an infrequent complication in hemodialyzed patients receiving desferrioxamine
chunk_72,TextChunk,Myasthenia gravis presenting as weakness after magnesium administration .
Myasthenia gravis,Disease,Myasthenia gravis
magnesium,Chemical,magnesium
chunk_73,TextChunk,We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia .
neuromuscular disease,Disease,neuromuscular disease
quadriplegic,Disease,quadriplegic
preeclampsia,Disease,preeclampsia
chunk_74,TextChunk,The serum magnesium concentration was 3 .
chunk_75,TextChunk,"0 mEq / L , which is usually well tolerated ."
chunk_76,TextChunk,The magnesium was stopped and she recovered over a few days .
chunk_77,TextChunk,"While she was weak , 2 - Hz repetitive stimulation revealed a decrement without significant facilitation at rapid rates or after exercise , suggesting postsynaptic neuromuscular blockade ."
postsynaptic neuromuscular blockade,Disease,postsynaptic neuromuscular blockade
chunk_78,TextChunk,"After her strength returned , repetitive stimulation was normal , but single fiber EMG revealed increased jitter and blocking ."
chunk_79,TextChunk,Her acetylcholine receptor antibody level was markedly elevated .
acetylcholine,Chemical,acetylcholine
chunk_80,TextChunk,"Although paralysis after magnesium administration has been described in patients with known myasthenia gravis , it has not previously been reported to be the initial or only manifestation of the disease ."
paralysis,Disease,paralysis
myasthenia gravis,Disease,myasthenia gravis
chunk_81,TextChunk,Patients who are unusually sensitive to the neuromuscular effects of magnesium should be suspected of having an underlying disorder of neuromuscular transmission
disorder of neuromuscular transmission,Disease,disorder of neuromuscular transmission
chunk_82,TextChunk,Chloroacetaldehyde and its contribution to urotoxicity during treatment with cyclophosphamide or ifosfamide .
Chloroacetaldehyde,Chemical,Chloroacetaldehyde
cyclophosphamide,Chemical,cyclophosphamide
ifosfamide,Chemical,ifosfamide
chunk_83,TextChunk,An experimental study / short communication .
chunk_84,TextChunk,"Based on clinical data , indicating that chloroacetaldehyde ( CAA ) is an important metabolite of oxazaphosphorine cytostatics , an experimental study was carried out in order to elucidate the role of CAA in the development of hemorrhagic cystitis ."
chloroacetaldehyde,Chemical,chloroacetaldehyde
CAA,Chemical,CAA
hemorrhagic cystitis,Disease,hemorrhagic cystitis
chunk_85,TextChunk,The data demonstrate that CAA after i .
chunk_86,TextChunk,v .
chunk_87,TextChunk,administration does not contribute to bladder damage .
bladder damage,Disease,bladder damage
chunk_88,TextChunk,"When instilled directly into the bladder , CAA exerts urotoxic effects , it is , however , susceptible to detoxification with mesna"
mesna,Chemical,mesna
chunk_89,TextChunk,Source of pain and primitive dysfunction in migraine : an identical site ? Twenty common migraine patients received a one sided frontotemporal application of nitroglycerin ( 10 patients ) or placebo ointment ( 10 patients ) in a double blind study .
pain,Disease,pain
migraine,Disease,migraine
nitroglycerin,Chemical,nitroglycerin
chunk_90,TextChunk,Early onset migraine attacks were induced by nitroglycerin in seven out of 10 patients versus no patient in the placebo group .
chunk_91,TextChunk,"Subsequently 20 migraine patients , who developed an early onset attack with frontotemporal nitroglycerin , received the drug in a second induction test at other body areas ."
chunk_92,TextChunk,No early onset migraine was observed .
chunk_93,TextChunk,"Thus the migraine - inducing effect of nitroglycerin seems to depend on direct stimulation of the habitual site of pain , suggesting that the frontotemporal region is of crucial importance in the development of a migraine crisis ."
chunk_94,TextChunk,This is not consistent with a CNS origin of migraine
chunk_95,TextChunk,Clotiazepam - induced acute hepatitis .
Clotiazepam,Chemical,Clotiazepam
hepatitis,Disease,hepatitis
chunk_96,TextChunk,"We report the case of a patient who developed acute hepatitis with extensive hepatocellular necrosis , 7 months after the onset of administration of clotiazepam , a thienodiazepine derivative ."
extensive hepatocellular necrosis,Disease,extensive hepatocellular necrosis
clotiazepam,Chemical,clotiazepam
thienodiazepine,Chemical,thienodiazepine
chunk_97,TextChunk,Clotiazepam withdrawal was followed by prompt recovery .
chunk_98,TextChunk,"The administration of several benzodiazepines , chemically related to clotiazepam , did not interfere with recovery and did not induce any relapse of hepatitis ."
benzodiazepines,Chemical,benzodiazepines
chunk_99,TextChunk,This observation shows that clotiazepam can induce acute hepatitis and suggests that there is no cross hepatotoxicity between clotiazepam and several benzodiazepines
hepatotoxicity,Disease,hepatotoxicity
chunk_100,TextChunk,Arterial hypertension as a complication of prolonged ketoconazole treatment .
ketoconazole,Chemical,ketoconazole
chunk_101,TextChunk,Two of 14 patients with Cushing's syndrome treated on a long - term basis with ketoconazole developed sustained hypertension .
Cushing's syndrome,Disease,Cushing's syndrome
chunk_102,TextChunk,"In both cases normal plasma and urinary free cortisol levels had been achieved following ketoconazole therapy , yet continuous blood pressure monitoring demonstrated hypertension 31 ( patient 1 ) and 52 weeks ( patient 2 ) after treatment ."
cortisol,Chemical,cortisol
chunk_103,TextChunk,"In patient 1 , plasma levels of deoxycorticosterone and 11-deoxycortisol were elevated ."
deoxycorticosterone,Chemical,deoxycorticosterone
11-deoxycortisol,Chemical,11-deoxycortisol
chunk_104,TextChunk,"In patient 2 , in addition to an increase in both deoxycorticosterone and 11-deoxycortisol levels , plasma aldosterone values were raised , with a concomitant suppression of renin levels ."
aldosterone,Chemical,aldosterone
chunk_105,TextChunk,Our findings show that long - term treatment with high doses of ketoconazole may induce enzyme blockade leading to mineralocorticoid - related hypertension
chunk_106,TextChunk,Effects of an inhibitor of angiotensin converting enzyme ( Captopril ) on pulmonary and renal insufficiency due to intravascular coagulation in the rat .
angiotensin,Chemical,angiotensin
Captopril,Chemical,Captopril
pulmonary and renal insufficiency,Disease,pulmonary and renal insufficiency
intravascular coagulation,Disease,intravascular coagulation
chunk_107,TextChunk,Induction of intravascular coagulation and inhibition of fibrinolysis by injection of thrombin and tranexamic acid ( AMCA ) in the rat gives rise to pulmonary and renal insufficiency resembling that occurring after trauma or sepsis in man .
tranexamic acid,Chemical,tranexamic acid
AMCA,Chemical,AMCA
trauma,Disease,trauma
sepsis,Disease,sepsis
chunk_108,TextChunk,"Injection of Captopril ( 1 mg / kg ), an inhibitor of angiotensin converting enzyme ( ACE ), reduced both pulmonary and renal insufficiency in this rat model ."
chunk_109,TextChunk,The lung weights were lower and PaO2 was improved in rats given this enzyme - blocking agent .
chunk_110,TextChunk,"The contents of albumin in the lungs were not changed , indicating that Captopril did not influence the extravasation of protein ."
chunk_111,TextChunk,Renal damage as reflected by an increase in serum urea and in kidney weight was prevented by Captopril .
Renal damage,Disease,Renal damage
urea,Chemical,urea
chunk_112,TextChunk,The amount of fibrin in the kidneys was also considerably lower than in animals which received thrombin and AMCA alone .
chunk_113,TextChunk,"It is suggested that the effects of Captopril on the lungs may be attributable to a vasodilatory effect due to a reduction in the circulating level of Angiotension II and an increase in prostacyclin ( secondary to an increase in bradykinin ). Captopril may , by the same mechanism , reduce the increase in glomerular filtration that is known to occur after an injection of thrombin , thereby diminishing the aggregation of fibrin monomers in the glomeruli , with the result that less fibrin will be deposited and thus less kidney damage"
Angiotension II,Chemical,Angiotension II
prostacyclin,Chemical,prostacyclin
bradykinin,Chemical,bradykinin
kidney damage,Disease,kidney damage
chunk_114,TextChunk,A randomized comparison of labetalol and nitroprusside for induced hypotension .
labetalol,Chemical,labetalol
nitroprusside,Chemical,nitroprusside
hypotension,Disease,hypotension
chunk_115,TextChunk,"In a randomized study , labetalol - induced hypotension and nitroprusside - induced hypotension were compared in 20 patients ( 10 in each group ) scheduled for major orthopedic procedures ."
chunk_116,TextChunk,Each patient was subjected to an identical anesthetic protocol and similar drug - induced reductions in mean arterial blood pressure ( BP )( 50 to 55 mmHg ). Nitroprusside infusion was associated with a significant ( p less than 0 .
reductions in mean arterial blood pressure,Disease,reductions in mean arterial blood pressure
chunk_117,TextChunk,05 ) increase in heart rate and cardiac output ; rebound hypertension was observed in three patients after discontinuation of nitroprusside .
increase in heart rate and cardiac output,Disease,increase in heart rate and cardiac output
chunk_118,TextChunk,Labetalol administration was not associated with any of these findings .
Labetalol,Chemical,Labetalol
chunk_119,TextChunk,Arterial PO2 decreased in both groups .
PO2,Chemical,PO2
chunk_120,TextChunk,It was concluded that labetalol offers advantages over nitroprusside
chunk_121,TextChunk,"Chronic carbamazepine treatment in the rat : efficacy , toxicity , and effect on plasma and tissue folate concentrations ."
carbamazepine,Chemical,carbamazepine
folate,Chemical,folate
chunk_122,TextChunk,Folate depletion has often been a problem in chronic antiepileptic drug ( AED ) therapy .
Folate,Chemical,Folate
chunk_123,TextChunk,"Carbamazepine ( CBZ ), a commonly used AED , has been implicated in some clinical studies ."
Carbamazepine,Chemical,Carbamazepine
CBZ,Chemical,CBZ
chunk_124,TextChunk,A rat model was developed to examine the effects of chronic CBZ treatment on folate concentrations in the rat .
chunk_125,TextChunk,"In the course of developing this model , a common vehicle , propylene glycol , by itself in high doses , was found to exhibit protective properties against induced seizures and inhibited weight gain ."
propylene glycol,Chemical,propylene glycol
seizures,Disease,seizures
weight gain,Disease,weight gain
chunk_126,TextChunk,Seizures induced by hexafluorodiethyl ether ( HFDE ) were also found to be a more sensitive measure of protection by CBZ than seizures induced by maximal electroshock ( MES ). Oral administration of CBZ as an aqueous suspension every 8 h at a dose of 250 mg / kg was continuously protective against HFDE - induced seizures and was minimally toxic as measured by weight gain over 8 weeks of treatment .
Seizures,Disease,Seizures
hexafluorodiethyl ether,Chemical,hexafluorodiethyl ether
HFDE,Chemical,HFDE
chunk_127,TextChunk,"The CBZ levels measured in plasma and brain of these animals , however , were below those normally considered protective ."
chunk_128,TextChunk,"This treatment with CBZ had no apparent adverse effect on folate concentrations in the rat , and , indeed , the folate"
chunk_129,TextChunk,Inhibition of sympathoadrenal activity by atrial natriuretic factor in dogs .
chunk_130,TextChunk,"In six conscious , trained dogs , maintained on a normal sodium intake of 2 to 4 mEq / kg / day , sympathetic activity was assessed as the release rate of norepinephrine and epinephrine during 15 - minute i ."
sodium,Chemical,sodium
norepinephrine,Chemical,norepinephrine
epinephrine,Chemical,epinephrine
chunk_131,TextChunk,v .
chunk_132,TextChunk,infusions of human alpha - atrial natriuretic factor .
chunk_133,TextChunk,Mean arterial pressure ( as a percentage of control +/- SEM ) during randomized infusions of 0 .
chunk_134,TextChunk,"03 , 0 ."
chunk_135,TextChunk,"1 , 0 ."
chunk_136,TextChunk,"3 , or 1 ."
chunk_137,TextChunk,"0 microgram / kg / min was 99 +/- 1 , 95 +/- 1 ( p less than 0 ."
chunk_138,TextChunk,"05 ), 93 +/- 1 ( p less than 0 ."
chunk_139,TextChunk,"01 ), or 79 +/- 6 %( p less than 0 ."
chunk_140,TextChunk,"001 ), respectively , but no tachycardia and no augmentation of the norepinephrine release rate ( up to 0 ."
tachycardia,Disease,tachycardia
chunk_141,TextChunk,"3 microgram / kg / min ) were observed , which is in contrast to comparable hypotension induced by hydralazine or nitroglycerin ."
hydralazine,Chemical,hydralazine
chunk_142,TextChunk,The release rate of epinephrine
chunk_143,TextChunk,Death from chemotherapy in gestational trophoblastic disease .
Death,Disease,Death
gestational trophoblastic disease,Disease,gestational trophoblastic disease
chunk_144,TextChunk,Multiple cytotoxic drug administration is the generally accepted treatment of patients with a high - risk stage of choriocarcinoma .
choriocarcinoma,Disease,choriocarcinoma
chunk_145,TextChunk,"Based on this principle a 27 - year old woman , classified as being in the high - risk group ( Goldstein and Berkowitz score : 11 ), was treated with multiple cytotoxic drugs ."
chunk_146,TextChunk,The multiple drug schema consisted of : Etoposide 16 .
Etoposide,Chemical,Etoposide
chunk_147,TextChunk,"213 , Methotrexate , Cyclophosphamide , Actomycin-D , and Cisplatin ."
Methotrexate,Chemical,Methotrexate
Cyclophosphamide,Chemical,Cyclophosphamide
Actomycin-D,Chemical,Actomycin-D
Cisplatin,Chemical,Cisplatin
chunk_148,TextChunk,"On the first day of the schedule , moderate high doses of Methotrexate , Etoposide and Cyclophosphamide were administered ."
chunk_149,TextChunk,"Within 8 hours after initiation of therapy the patient died with a clinical picture resembling massive pulmonary obstruction due to choriocarcinomic tissue plugs , probably originating from the uterus ."
pulmonary obstruction,Disease,pulmonary obstruction
chunk_150,TextChunk,"Formation of these plugs was probably due to extensive tumor necrosis at the level of the walls of the major uterine veins , which resulted in an open exchange of tumor plugs to the vascular spaces ; decrease in tumor tissue coherence secondary to chemotherapy may have further contributed to the formation of tumor emboli ."
tumor necrosis,Disease,tumor necrosis
tumor,Disease,tumor
chunk_151,TextChunk,"In view of the close time association between the start of chemotherapy and the acute onset of massive embolism other explanations , such as spontaneous necrosis , must be considered less likely ."
embolism,Disease,embolism
necrosis,Disease,necrosis
chunk_152,TextChunk,Patients with large pelvic tumor
pelvic tumor,Disease,pelvic tumor
chunk_153,TextChunk,Sexual dysfunction among patients with arthritis .
Sexual dysfunction,Disease,Sexual dysfunction
arthritis,Disease,arthritis
chunk_154,TextChunk,"The relationship of arthritis and sexual dysfunction was investigated among 169 patients with rheumatoid arthritis , osteoarthritis and spondyloarthropathy , 130 of whom were pair - matched to controls ."
sexual dysfunction,Disease,sexual dysfunction
rheumatoid arthritis,Disease,rheumatoid arthritis
osteoarthritis,Disease,osteoarthritis
spondyloarthropathy,Disease,spondyloarthropathy
chunk_155,TextChunk,"Assessments of marital happiness and depressed mood were also made using the CES - D and the Azrin Marital Happiness Scale ( AMHS ). Sexual dysfunctions were found to be common among patients and controls , the majority in both groups reporting one or more dysfunctions ."
depressed mood,Disease,depressed mood
Sexual dysfunctions,Disease,Sexual dysfunctions
chunk_156,TextChunk,Impotence was more common among male patients than controls and was found to be associated with co - morbidity and the taking of methotrexate .
Impotence,Disease,Impotence
methotrexate,Chemical,methotrexate
chunk_157,TextChunk,"Depressed mood was more common among patients and was associated with certain sexual difficulties , but not with impotence ."
Depressed mood,Disease,Depressed mood
impotence,Disease,impotence
chunk_158,TextChunk,"Marital unhappiness , as indicated by AMHS scores , was not associated with arthritis but was associated with sexual dysfunction"
chunk_159,TextChunk,"Does paracetamol cause urothelial cancer or renal papillary necrosis ? The risk of developing renal papillary necrosis or cancer of the renal pelvis, ureter or bladder associated with consumption of either phenacetin or paracetamol was calculated from data acquired by questionnaire from 381 cases and 808 controls ."
paracetamol,Chemical,paracetamol
urothelial cancer,Disease,urothelial cancer
renal papillary necrosis,Disease,renal papillary necrosis
"cancer of the renal pelvis, ureter or bladder",Disease,"cancer of the renal pelvis, ureter or bladder"
phenacetin,Chemical,phenacetin
chunk_160,TextChunk,"The risk of renal papillary necrosis was increased nearly 20 - fold by consumption of phenacetin , which also increased the risk for cancer of the renal pelvis and bladder but not for ureteric cancer ."
cancer of the renal pelvis and bladder,Disease,cancer of the renal pelvis and bladder
ureteric cancer,Disease,ureteric cancer
chunk_161,TextChunk,"By contrast , we were unable to substantiate an increased risk from paracetamol consumption for renal papillary necrosis or any of these cancers although there was a suggestion of an association with cancer of the ureter"
cancers,Disease,cancers
cancer of the ureter,Disease,cancer of the ureter
chunk_162,TextChunk,Dapsone - associated Heinz body hemolytic anemia in a Cambodian woman with hemoglobin E trait .
Dapsone,Chemical,Dapsone
hemolytic anemia,Disease,hemolytic anemia
chunk_163,TextChunk,A Cambodian woman with hemoglobin E trait ( AE ) and leprosy developed a Heinz body hemolytic anemia while taking a dose of dapsone ( 50 mg / day ) not usually associated with clinical hemolysis .
leprosy,Disease,leprosy
dapsone,Chemical,dapsone
hemolysis,Disease,hemolysis
chunk_164,TextChunk,"Her red blood cells ( RBCs ) had increased incubated Heinz body formation , decreased reduced glutathione ( GSH ), and decreased GSH stability ."
glutathione,Chemical,glutathione
GSH,Chemical,GSH
chunk_165,TextChunk,The pentose phosphate shunt activity of the dapsone - exposed AE RBCs was increased compared to normal RBCs .
pentose phosphate,Chemical,pentose phosphate
chunk_166,TextChunk,"Although the AE RBCs from an individual not taking dapsone had increased incubated Heinz body formation , the GSH content and GSH stability were normal ."
chunk_167,TextChunk,The pentose phosphate shunt activity of the non - dapsone - exposed AE RBCs was decreased compared to normal RBCs .
chunk_168,TextChunk,"Thus , AE RBCs appear to have an increased sensitivity to oxidant stress both in vitro and in vivo , since dapsone does not cause hemolytic anemia at this dose in hematologically normal individuals ."
chunk_169,TextChunk,"Given the influx of Southeast Asians into the United States , oxidant medications should be used with caution , especially if an infection"
infection,Disease,infection
chunk_170,TextChunk,"Severe complications of antianginal drug therapy in a patient identified as a poor metabolizer of metoprolol , propafenone , diltiazem , and sparteine ."
metoprolol,Chemical,metoprolol
propafenone,Chemical,propafenone
diltiazem,Chemical,diltiazem
sparteine,Chemical,sparteine
chunk_171,TextChunk,A 47 - year - old patient suffering from coronary artery disease was admitted to the CCU in shock with III .
coronary artery disease,Disease,coronary artery disease
shock,Disease,shock
chunk_172,TextChunk,"AV block , severe hypotension , and impairment of ventricular function ."
AV block,Disease,AV block
impairment of ventricular function,Disease,impairment of ventricular function
chunk_173,TextChunk,One week prior to admission a therapy with standard doses of metoprolol ( 100 mg t .
chunk_174,TextChunk,i .
chunk_175,TextChunk,d .
chunk_176,TextChunk,and then 100 mg b .
chunk_177,TextChunk,i .
chunk_178,TextChunk,d .) had been initiated .
chunk_179,TextChunk,Two days before admission diltiazem ( 60 mg b .
chunk_180,TextChunk,i .
chunk_181,TextChunk,d .) was prescribed in addition .
chunk_182,TextChunk,Analyses of a blood sample revealed unusually high plasma concentrations of metoprolol ( greater than 3000 ng / ml ) and diltiazem ( 526 ng / ml ). The patient recovered within 1 week following discontinuation of antianginal therapy .
